host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,instant_bookable,reviews_per_month,amenities_number
t,t,t,Bos en Lommer,52.37745,4.85994,Private room,2,1.0,1.0,52.0,3,3,f,2.16,34
f,t,t,Zuid,52.34633,4.85629,Entire home/apt,2,1.0,1.0,145.0,5,5,f,0.1,20
f,t,t,Bos en Lommer,52.37954,4.85426,Entire home/apt,2,1.0,1.0,125.0,2,2,f,0.4,16
f,t,t,Centrum-Oost,52.36427,4.88523,Entire home/apt,4,2.0,2.0,207.0,3,3,f,0.34,9
f,t,t,De Baarsjes - Oud-West,52.3583,4.85909,Entire home/apt,2,1.0,1.0,125.0,4,4,t,0.2,9
f,t,t,Zuid,52.35017,4.85255,Entire home/apt,3,2.0,3.0,116.0,10,10,f,0.03,8
f,t,f,Centrum-West,52.38057,4.88565,Entire home/apt,4,2.0,3.0,228.0,7,7,t,0.47,26
f,t,f,Geuzenveld - Slotermeer,52.37899,4.83494,Entire home/apt,4,1.0,1.0,95.0,4,4,f,0.07,13
f,t,f,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,72.0,3,2,t,2.64,22
f,t,t,De Baarsjes - Oud-West,52.36192,4.85551,Private room,3,1.0,3.0,35.0,2,2,f,4.78,22
t,t,f,Centrum-West,52.38037,4.88021,Private room,2,1.0,1.0,91.0,3,3,f,2.22,25
f,t,f,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,72.0,3,2,t,3.08,23
f,t,t,Watergraafsmeer,52.35251,4.94338,Private room,2,1.0,1.0,80.0,2,2,f,0.08,14
t,t,t,Oud-Oost,52.35279,4.91256,Private room,2,1.0,1.0,105.0,3,3,f,1.96,10
f,t,t,Oud-Noord,52.38171,4.9144,Private room,2,1.0,1.0,115.0,7,7,f,0.24,24
f,t,t,Oud-Noord,52.38744,4.9096,Entire home/apt,3,2.0,3.0,74.0,1,1,f,0.08,11
t,t,t,Bos en Lommer,52.37988,4.85711,Entire home/apt,2,1.0,1.0,113.0,2,2,t,0.04,14
f,t,f,Centrum-West,52.37154,4.87596,Entire home/apt,4,1.0,2.0,125.0,3,3,f,0.78,14
f,t,t,Centrum-West,52.37997,4.88707,Entire home/apt,5,2.0,3.0,112.0,5,5,f,0.13,30
f,t,t,Centrum-West,52.37075,4.89787,Entire home/apt,2,1.0,2.0,73.0,2,2,f,0.89,17
f,t,t,Centrum-Oost,52.36377,4.91831,Entire home/apt,2,1.0,1.0,95.0,3,3,f,0.49,30
f,t,f,Centrum-West,52.37094,4.87654,Entire home/apt,3,1.0,1.0,99.0,2,2,f,0.84,10
t,t,t,Westerpark,52.38584,4.871,Entire home/apt,4,1.0,4.0,275.0,1,1,f,1.54,32
f,t,t,Centrum-Oost,52.35955,4.8979,Entire home/apt,4,2.0,2.0,175.0,3,3,f,0.21,19
f,t,t,Centrum-Oost,52.35843,4.89667,Entire home/apt,2,1.0,1.0,125.0,3,3,f,0.02,8
f,t,t,Centrum-Oost,52.35853,4.89751,Private room,2,1.0,1.0,70.0,3,3,f,0.44,7
f,t,f,Oud-Noord,52.39992,4.92,Entire home/apt,2,1.0,2.0,175.0,2,2,f,0.82,34
f,t,t,De Baarsjes - Oud-West,52.35901,4.8644,Entire home/apt,2,1.0,1.0,169.0,2,2,f,0.3,9
t,t,f,Centrum-West,52.37183,4.87657,Entire home/apt,2,1.0,1.0,230.0,3,3,f,0.79,27
f,t,t,De Baarsjes - Oud-West,52.36684,4.87676,Entire home/apt,2,1.0,1.0,95.0,3,3,f,2.55,24
f,t,t,De Pijp - Rivierenbuurt,52.35718,4.89654,Entire home/apt,2,1.0,1.0,150.0,3,3,f,0.12,26
f,t,t,De Pijp - Rivierenbuurt,52.34143,4.89142,Entire home/apt,2,1.0,1.0,199.0,2,2,f,0.39,18
t,t,t,De Pijp - Rivierenbuurt,52.35729,4.90163,Entire home/apt,4,1.0,2.0,87.0,1,1,f,3.19,33
f,t,f,Zuid,52.34919,4.85889,Entire home/apt,4,2.0,2.0,88.0,1,1,f,0.31,10
t,t,t,De Pijp - Rivierenbuurt,52.3555,4.89215,Private room,4,1.0,4.0,75.0,3,3,t,5.08,42
f,t,f,De Baarsjes - Oud-West,52.36182,4.85699,Entire home/apt,4,4.0,4.0,220.0,2,2,f,0.32,36
f,t,t,Centrum-Oost,52.36884,4.90648,Entire home/apt,2,1.0,1.0,150.0,4,4,f,0.36,23
f,t,t,Watergraafsmeer,52.35584,4.9335,Private room,2,1.0,1.0,85.0,2,2,t,2.78,18
t,t,t,Oud-Oost,52.35549,4.90852,Private room,2,1.0,1.0,56.0,4,4,f,3.78,19
f,t,f,De Pijp - Rivierenbuurt,52.35711,4.90391,Entire home/apt,4,2.0,3.0,169.0,2,2,f,0.42,23
t,t,t,De Baarsjes - Oud-West,52.36545,4.8753,Entire home/apt,4,4.0,4.0,245.0,2,2,f,0.81,36
